Voice,Intent
يمين,right
اتحرك يمين,right
امشي يمين,right
إلى اليمين,right
يا كرسي تحرك يمين,right
تحرك يميناً,right
تحرك إلى اليمين,right
امشي إلى اليمين,right
لف يمين,right
يمينك,right
على ايدك اليمين,right
سر إلى اليمين,right
اجري يمين,right
يمن,right
يامن,right
يي مين,right
سر يمين,right
يمينك,right
اجري على اليمين,right
امشي قدام,up
امشي للامام,up
سر إلى الامام,up
اجري قدام,up
اجري امام,up
إلى الامام,up
امام,up
قدام,up
تحرك قدام,up
تحرك أمام,up
تحرك إلى الامام,up
تحرك قدام,up
طير قدام,up
طير إلى الامام,up
امشي قدامك,up
امشي لقدام,up
امشي مستقيم ,up
اجري مستقيم,up
يا كرسي تحرك قدام,up
يا كرسي تحرك إلى الامام,up
شمال,left
يسار,left
اتحرك شمال,left
امشي شمال,left
على شمالك,left
اتحرك يسار,left
امشي يسار,left
على يسارك,left
امشي إلى الشمال,left
امشي إلى اليسار,left
تحرك إلى الشمال,left
تحرك إلى اليسار,left
لف شمال,left
لف يسار,left
إلى اليسار,left
إلى الشمال,left
يا كرسي تحرك شمال,left
يا كرسي تحرك يسار,left
اجري شمال,left
اجري يسار,left
ورا,down
وراء,down
خلف,down
امشي ورا,down
امشي وراء,down
امشي خلف,down
امشي إلى الخلف,down
امشي إلى الوراء,down
تحرك لورا,down
تحرك للخلف,down
تحرك للوراء,down
ارجع,down
ارجع لورا,down
امشي لورا,down
ارجع للوراء,down
ارجع للخلف,down
يا كرسي ارجع ورا,down
يا كرسي امشي لورا,down
يا كرسي ارجع للخلف,down
يا كرسي اتحرك للوراء,down
لا تتحرك,stop
وقف,stop
توقف,stop
متمشيش,stop
متتحركش,stop
بطل حركة,stop
بطل جري,stop
متجريش,stop
ستوب,stop
اقف,stop
اثبت,stop
هس,stop
لا تجري,stop
لا تمشي,stop
لا ترجع,stop
بطل رجع,stop
بطل,stop
اسكت,stop
خلاص,stop
يا كرسي توقف,stop
